era_SectionOfLine;era_SectionOfLine_era_opStart;era_SectionOfLine_era_opStart__label;era_SectionOfLine_era_nationalLine_rdfs_label;era_SectionOfLine_era_lengthOfSectionOfLine;era_SectionOfLine_era_opEnd;era_SectionOfLine_era_opEnd__label;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label;__type;__label
http://data.europa.eu/949/sectionOfLine/f8ae9d50c6;http://data.europa.eu/949/operationalPoint/e35ce7ca95;Äggfors;20;3.042;http://data.europa.eu/949/operationalPoint/7cc0d20640;Mörsil;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/0b5b8b5465;http://data.europa.eu/949/operationalPoint/7f0b0dd69b;Ösmo;19;5.306;http://data.europa.eu/949/operationalPoint/8146e28974;Segersäng;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/0bfd764627;http://data.europa.eu/949/operationalPoint/66b05062ce;Nykvarn;17;6.613;http://data.europa.eu/949/operationalPoint/ee1befa664;Ryssjöbrink;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/5af6918687;http://data.europa.eu/949/operationalPoint/e266f2c9a5;Nattavaara;21;9.688;http://data.europa.eu/949/operationalPoint/2e281bbcc0;Kilvo;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/8242c5abdf;http://data.europa.eu/949/operationalPoint/c6610f45bc;Agnesberg;23;3.754;http://data.europa.eu/949/operationalPoint/f62dbb4620;Göteborg Marieholm;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/166bc82922;http://data.europa.eu/949/operationalPoint/42a45ec214;Olskroken;23;2.46;http://data.europa.eu/949/operationalPoint/1d280e14e6;Göteborg Kville;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/4675117758;http://data.europa.eu/949/operationalPoint/0bff62468e;Huvudsta;22;1.849;http://data.europa.eu/949/operationalPoint/9c3dc4e8a2;Sundbyberg;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/b76e661193;http://data.europa.eu/949/operationalPoint/d3a067b457;Borås central;4;12.06;http://data.europa.eu/949/operationalPoint/4964f6d2a3;Viskafors;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/f9ea5f81dc;http://data.europa.eu/949/operationalPoint/5b7b975a1f;Lovene;75;8.174;http://data.europa.eu/949/operationalPoint/32e87fcc99;Järpås;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/ca0b1af418;http://data.europa.eu/949/operationalPoint/a2b0cc5c1b;Falkenberg personstation;3;10.289;http://data.europa.eu/949/operationalPoint/c6e0bdecd8;Heberg;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/ebcae771f7;http://data.europa.eu/949/operationalPoint/88e32ca2b0;Hallsbergs personbangård;1;3.187;http://data.europa.eu/949/operationalPoint/53f73b22b3;Hallsbergs rangerbangård;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/414ee8e815;http://data.europa.eu/949/operationalPoint/125e9cc2a0;Polcirkeln;21;9.497;http://data.europa.eu/949/operationalPoint/8f3c94d886;Koskivaara;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/bd18193629;http://data.europa.eu/949/operationalPoint/d6fcd80838;Skillingaryd;84;8.679;http://data.europa.eu/949/operationalPoint/6c7d95db69;Klevshult;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/58ca71c0fa;http://data.europa.eu/949/operationalPoint/fd6639adfd;Falerum;66;9.33;http://data.europa.eu/949/operationalPoint/a700646e3d;Nelhammar;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/c3497d05b0;http://data.europa.eu/949/operationalPoint/aa43326b9c;Holmsveden;8;6.126;http://data.europa.eu/949/operationalPoint/2cf1b1a231;Röstbo;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/f89fed5ea6;http://data.europa.eu/949/operationalPoint/7503374ca6;Stegsskogen;5;8.174;http://data.europa.eu/949/operationalPoint/1ab2c0f390;Harmånger;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/eed33b7211;http://data.europa.eu/949/operationalPoint/766aa4411a;Kristianstad GBG;13;8.317;http://data.europa.eu/949/operationalPoint/5f8d68146c;Fjälkinge;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/c82c1ef965;http://data.europa.eu/949/operationalPoint/ed3be87e7d;Eslöv;2;4.279;http://data.europa.eu/949/operationalPoint/d1c30ed4d5;Dammstorp;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
http://data.europa.eu/949/sectionOfLine/56cb20526c;http://data.europa.eu/949/operationalPoint/e0ea6afe3a;Tanum;73;10.104;http://data.europa.eu/949/operationalPoint/7270ba19be;Kragenäs;http://publications.europa.eu/resource/authority/country/SWE;Sweden;;
