id,LINKSEQUENCE_OID,VALID_FROM,VALID_TO,START_NODE_OID,END_NODE_OID,START_MEASURE,END_MEASURE,LENGTH,EXTENT_LENGTH
57,d0af105c-d100-4e0b-a147-33c725790b17,18991231,99991231,43a2333c-2cc9-4b1f-b2bf-aa1dcab620d3,c6487eb9-92da-4edc-abfc-973d176971e2,0,1,529.751163358363,0.006
58,"08cbf268-e92e-4e7e-aba5-12c06e3220a5",18991231,99991231,fbccaef6-3b99-431b-93c6-9afcb109321b,43a2333c-2cc9-4b1f-b2bf-aa1dcab620d3,0,1,133.862337942348,0.001
59,84a34f67-db67-45e1-890a-71e70c88cfe9,18991231,99991231,ad9d94c6-8f16-499f-895f-7ab49c3998ed,80eb7c32-fc35-4f25-a6e0-c91cc45f90b5,0,1,73.9347387903684,0.001
60,6879e2f4-0b35-4240-8ff0-cb88afb8fa52,18991231,99991231,8fb086fe-c684-4c79-b844-184a0e313e87,fbccaef6-3b99-431b-93c6-9afcb109321b,0,1,229.473004908366,0.002
61,"037d5fa0-ee0c-43ef-be2d-e8f08ba49a48",18991231,99991231,62b420c2-2531-4c3a-a64d-b855d1d7923a,83bb07bb-6ab0-4d07-a1aa-901a9b376a5c,0,1,41.5326594380863,0
62,4e3c9fff-cd21-4106-8bb2-6ecb622bc880,18991231,99991231,4855174f-3be0-4c84-9102-21b09cfc964e,acf5822f-6215-42ef-bf8a-4841dd7f9218,0,1,10072.6436257378,0.156
63,f5f73dab-63da-4c13-bcb9-89c4fd6a998b,18991231,99991231,973d5fda-1a92-411c-abe9-4f0debe3e273,79420e63-a01a-4ac3-8233-55bcfa9ccab5,0,1,2207.25872781051,0.031
64,3673e8d9-21a1-4040-8cdc-07e48e573461,18991231,99991231,"00a4e0f6-c1c6-443e-a980-9d91c1bb7259",e07159bc-5d33-43f3-a203-1fcd5da9fa10,0,1,23.9533087484642,0
65,7b99f988-5a4f-4a40-855e-a9f75fb65f37,18991231,99991231,6d7d4ef5-15f6-4762-b364-12a6ed2cba00,"00a4e0f6-c1c6-443e-a980-9d91c1bb7259",0,1,37.9225341980323,0
66,9de7d6ed-df46-4500-811a-c9b00f335a50,18991231,99991231,957a1b03-68f6-46bb-af97-5f0825020715,bd41e725-c8a7-409b-b22e-b6993065594d,0,1,399.748105341233,0.005
67,2cb25bfe-d789-468c-a4aa-0e9b2ba4e9a8,18991231,99991231,1b85c680-8c57-4ac3-a8bc-a07084fa802c,e74a987a-a9d9-4b5f-acbc-2e2282178033,0,1,11.4017937185339,0
68,136a89b4-d349-4ac9-b1fd-4710a907c521,18991231,99991231,1b85c680-8c57-4ac3-a8bc-a07084fa802c,40e5a101-3e37-45a8-81e6-50c1f35fb5a8,0,1,11.4019121203419,0
69,8966fd27-4448-423f-a5e3-c214cb6e9626,18991231,99991231,56827cfb-63ff-4cd0-b3a4-4abc43a87d30,"0c05e3f7-4512-4cdd-9509-98a0d9692fa5",0,1,258.25559100943,0.003
70,df995f88-be85-425e-aa0e-e463851d5ccd,18991231,99991231,80eb7c32-fc35-4f25-a6e0-c91cc45f90b5,fbccaef6-3b99-431b-93c6-9afcb109321b,0,1,77.5297059197324,0.001
71,695abca2-ca33-4285-864c-0ab2175aa532,18991231,99991231,"0ac1041b-8fdd-46a7-bd28-1f2e9b88f00f",8c4ea993-bd01-4635-83c6-95180bd1f34d,0,1,426.896253904767,0.007
72,"042b1024-e3d6-4c75-a130-6fad107ae7ab",18991231,99991231,3a0f42a0-c117-4eff-a949-353a57a51e19,6c5e06be-7e6d-4515-a80b-29af8d7964c4,0,1,34.6590536512467,0.001
73,ed58fc9b-8ec0-4e0f-b961-2df6043c547a,18991231,99991231,3a0f42a0-c117-4eff-a949-353a57a51e19,6928abf5-77c0-46f2-9e8d-a8eb17d24e72,0,1,362.453913563721,0.006
74,"0e3f76ff-0e4c-476c-953d-e54c572cbe51",18991231,99991231,6c5e06be-7e6d-4515-a80b-29af8d7964c4,7564caa6-2d2c-4110-9b10-08638fea05ca,0,1,138.546082225273,0.002
75,8ef452c0-1858-476b-a4bc-19b7646d1ab4,18991231,99991231,6c5e06be-7e6d-4515-a80b-29af8d7964c4,"0731a1ff-c2f3-4656-90f9-5cbcb8cc8c5c",0,1,255.639908711294,0.004
76,80c5f55f-a383-4536-b74e-acb35b4ee6c7,18991231,99991231,7564caa6-2d2c-4110-9b10-08638fea05ca,4f7567ff-dd7a-4c6f-82a2-f2f27478e5a1,0,1,29.9952129514466,0
77,7a780a77-cb62-4a9b-99d4-688c00336ecd,18991231,99991231,7564caa6-2d2c-4110-9b10-08638fea05ca,e5230e14-38a9-4acb-b529-40be6161298d,0,1,31.7618229955398,0.001
