era_OperationalPoint;era_OperationalPoint_era_opType;era_OperationalPoint_era_opType__label;era_OperationalPoint_era_uopid;era_OperationalPoint_era_primaryLocation;era_OperationalPoint_era_primaryLocation__label;era_OperationalPoint_era_netReference_geosparql_hasGeometry_geosparql_asWKT;era_OperationalPoint_era_opName;CUSTOM_VAR_IN_COUNTRY;CUSTOM_VAR_IN_COUNTRY__label
http://data.europa.eu/949/operationalPoint/3c12983d7c;http://data.europa.eu/949/concepts/op-types/20;small station;SEMc;http://data.europa.eu/949/primaryLocation/SE02611;SE02611;POINT(13.0002 55.6097);Malmö central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/a1c47ee121;http://data.europa.eu/949/concepts/op-types/80;junction;SEBen;http://data.europa.eu/949/primaryLocation/SE10050;SE10050;POINT(23.2332 65.8374);Bredviken;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/256881fa48;http://data.europa.eu/949/concepts/op-types/20;small station;SEKän;http://data.europa.eu/949/primaryLocation/SE02166;SE02166;POINT(17.7528 59.4781);Kungsängen;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/896a924d61;http://data.europa.eu/949/concepts/op-types/80;junction;SESkm;http://data.europa.eu/949/primaryLocation/SE10657;SE10657;POINT(15.0435 58.9614);Stenkumla;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/cb7baf0f77;http://data.europa.eu/949/concepts/op-types/20;small station;SELaov;http://data.europa.eu/949/primaryLocation/SE02288;SE02288;POINT(12.9994 56.5027);Laholm västra;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/b5a3079011;http://data.europa.eu/949/concepts/op-types/20;small station;SENk;http://data.europa.eu/949/primaryLocation/SE02976;SE02976;POINT(16.9971 58.7566);Nyköpings central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/330e803a2e;http://data.europa.eu/949/concepts/op-types/20;small station;SEFln;http://data.europa.eu/949/primaryLocation/SE00850;SE00850;POINT(15.6417 60.6032);Falun central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/9f5d1fd81c;http://data.europa.eu/949/concepts/op-types/80;junction;SESto;http://data.europa.eu/949/primaryLocation/SE10504;SE10504;POINT(20.06 65.154);Storträsk;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/46e4748cd5;http://data.europa.eu/949/concepts/op-types/20;small station;SEVäc;http://data.europa.eu/949/primaryLocation/SE04604;SE04604;POINT(14.036 57.1864);Värnamo central;http://publications.europa.eu/resource/authority/country/SWE;Sweden
http://data.europa.eu/949/operationalPoint/fde17f04d6;http://data.europa.eu/949/concepts/op-types/80;junction;SEKas;http://data.europa.eu/949/primaryLocation/SE01924;SE01924;POINT(16.3311 56.6667);Kalmar södra;http://publications.europa.eu/resource/authority/country/SWE;Sweden
